station_no,road_link,location,aadt,aadt_excluding_mc,aadt_pcu,aadt_pcu_excluding_mc,year,detail_url,timestamp,demand,stop_id,stop_name,route_id,data_source,traffic_year,traffic_station_no,traffic_road_link,traffic_aadt,traffic_aadt_pcu,latitude,longitude,capacity_limit,fetched_at
58,F02301,Satdobato South (Chapagaun),5275,1765,4348,2593,2011/12,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/58,2012-01-01,181,Satdobato_South_Chapagaun,Satdobato South (Chapagaun),Ratna Park - Lagankhel Corridor,dor_portal_live,2011/12,58,F02301,5275,4348,27.638,85.333,500,2026-08-08T17:04:54.833838+05:45
58,F02301,Satdobato South (Chapagaun),20735,7202,16313,9543,2012/13,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/218,2013-01-01,680,Satdobato_South_Chapagaun,Satdobato South (Chapagaun),Ratna Park - Lagankhel Corridor,dor_portal_live,2012/13,58,F02301,20735,16313,27.638,85.333,500,2026-08-08T17:04:54.833838+05:45
58,F02301,Satdobato South (Chapagaun),13598,4484,9981,5406,2014/15,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/378,2015-01-01,416,Satdobato_South_Chapagaun,Satdobato South (Chapagaun),Ratna Park - Lagankhel Corridor,dor_portal_live,2014/15,58,F02301,13598,9981,27.638,85.333,500,2026-08-08T17:04:54.833838+05:45
58,F02301,Satdobato South (Chapagaun),21698,6498,16083,7819,2015/16,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/538,2016-01-01,670,Satdobato_South_Chapagaun,Satdobato South (Chapagaun),Ratna Park - Lagankhel Corridor,dor_portal_live,2015/16,58,F02301,21698,16083,27.638,85.333,500,2026-08-08T17:04:54.833838+05:45
58,F02301,Satdobato South (Chapagaun),11404,4209,9583,5960,2016/17,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/698,2017-01-01,399,Satdobato_South_Chapagaun,Satdobato South (Chapagaun),Ratna Park - Lagankhel Corridor,dor_portal_live,2016/17,58,F02301,11404,9583,27.638,85.333,500,2026-08-08T17:04:54.833838+05:45
58,F02301,Satdobato South (Chapagaun),26387,9398,20333,11489,2018/19,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/858,2019-01-01,847,Satdobato_South_Chapagaun,Satdobato South (Chapagaun),Ratna Park - Lagankhel Corridor,dor_portal_live,2018/19,58,F02301,26387,20333,27.638,85.333,500,2026-08-08T17:04:54.833838+05:45
58,F02301,Satdobato South (Chapagaun),29898,8034,20718,9777,2020/21,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/1018,2021-01-01,863,Satdobato_South_Chapagaun,Satdobato South (Chapagaun),Ratna Park - Lagankhel Corridor,dor_portal_live,2020/21,58,F02301,29898,20718,27.638,85.333,500,2026-08-08T17:04:54.833838+05:45
58,F02301,Satdobato South (Chapagaun),27099,7315,18562,8665,2021/22,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/1178,2022-01-01,773,Satdobato_South_Chapagaun,Satdobato South (Chapagaun),Ratna Park - Lagankhel Corridor,dor_portal_live,2021/22,58,F02301,27099,18562,27.638,85.333,500,2026-08-08T17:04:54.833838+05:45
58,F02301,Satdobato South (Chapagaun),29443,7372,19318,8270,2022/23,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/1338,2023-01-01,805,Satdobato_South_Chapagaun,Satdobato South (Chapagaun),Ratna Park - Lagankhel Corridor,dor_portal_live,2022/23,58,F02301,29443,19318,27.638,85.333,500,2026-08-08T17:04:54.833838+05:45
58,F02301,Satdobato South (Chapagaun),39194,11117,27821,13778,2024/25,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/1575,2025-01-01,1159,Satdobato_South_Chapagaun,Satdobato South (Chapagaun),Ratna Park - Lagankhel Corridor,dor_portal_live,2024/25,58,F02301,39194,27821,27.638,85.333,500,2026-08-08T17:04:54.833838+05:45
59,F02401,Satdobato Junction South,21156,9371,19075,13106,2011/12,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato Junction South/59,2012-01-01,795,Satdobato_Junction_South,Satdobato Junction South,Ratna Park - Lagankhel Corridor,dor_portal_live,2011/12,59,F02401,21156,19075,27.668,85.33,1500,2026-08-08T17:04:54.833838+05:45
59,F02401,Satdobato Junction South,24372,9115,20159,12520,2012/13,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato Junction South/219,2013-01-01,840,Satdobato_Junction_South,Satdobato Junction South,Ratna Park - Lagankhel Corridor,dor_portal_live,2012/13,59,F02401,24372,20159,27.668,85.33,1500,2026-08-08T17:04:54.833838+05:45
59,F02401,Satdobato Junction South,22479,7371,17218,9647,2014/15,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato Junction South/379,2015-01-01,717,Satdobato_Junction_South,Satdobato Junction South,Ratna Park - Lagankhel Corridor,dor_portal_live,2014/15,59,F02401,22479,17218,27.668,85.33,1500,2026-08-08T17:04:54.833838+05:45
59,F02401,Satdobato Junction South,26866,13677,28879,22276,2015/16,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato Junction South/539,2016-01-01,1203,Satdobato_Junction_South,Satdobato Junction South,Ratna Park - Lagankhel Corridor,dor_portal_live,2015/16,59,F02401,26866,28879,27.668,85.33,1500,2026-08-08T17:04:54.833838+05:45
59,F02401,Satdobato Junction South,24927,7909,19092,10574,2016/17,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato Junction South/699,2017-01-01,796,Satdobato_Junction_South,Satdobato Junction South,Ratna Park - Lagankhel Corridor,dor_portal_live,2016/17,59,F02401,24927,19092,27.668,85.33,1500,2026-08-08T17:04:54.833838+05:45
59,F02401,Satdobato Junction South,44319,14357,34380,19399,2018/19,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato Junction South/859,2019-01-01,1432,Satdobato_Junction_South,Satdobato Junction South,Ratna Park - Lagankhel Corridor,dor_portal_live,2018/19,59,F02401,44319,34380,27.668,85.33,1500,2026-08-08T17:04:54.833838+05:45
59,F02401,Satdobato Junction South,59288,17377,42079,21101,2020/21,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato Junction South/1019,2021-01-01,1753,Satdobato_Junction_South,Satdobato Junction South,Ratna Park - Lagankhel Corridor,dor_portal_live,2020/21,59,F02401,59288,42079,27.668,85.33,1500,2026-08-08T17:04:54.833838+05:45
59,F02401,Satdobato Junction South,40471,16177,31802,19655,2021/22,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato Junction South/1179,2022-01-01,1325,Satdobato_Junction_South,Satdobato Junction South,Ratna Park - Lagankhel Corridor,dor_portal_live,2021/22,59,F02401,40471,31802,27.668,85.33,1500,2026-08-08T17:04:54.833838+05:45
59,F02401,Satdobato Junction South,59150,18339,42811,22389,2022/23,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato Junction South/1339,2023-01-01,1784,Satdobato_Junction_South,Satdobato Junction South,Ratna Park - Lagankhel Corridor,dor_portal_live,2022/23,59,F02401,59150,42811,27.668,85.33,1500,2026-08-08T17:04:54.833838+05:45
59,F02401,Satdobato Junction South,59498,18147,42779,22103,2024/25,https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato Junction South/1591,2025-01-01,1782,Satdobato_Junction_South,Satdobato Junction South,Ratna Park - Lagankhel Corridor,dor_portal_live,2024/25,59,F02401,59498,42779,27.668,85.33,1500,2026-08-08T17:04:54.833838+05:45
60,H1614,Ring Road (Manohara Bridge),46237,18818,39432,25723,2011/12,https://ssrn.dor.gov.np/traffic_controller/get_detail/Ring Road -2Manohara Bridge-1/60,2012-01-01,1643,Ring_Road_Manohara_Bridge,Ring Road (Manohara Bridge),Ring Road Corridor,dor_portal_live,2011/12,60,H1614,46237,39432,27.7045,85.3715,1500,2026-08-08T17:04:54.833838+05:45
60,H1614,Ring Road (Manohara Bridge),39245,17889,35678,24988,2012/13,https://ssrn.dor.gov.np/traffic_controller/get_detail/Ring Road -2Manohara Bridge-1/220,2013-01-01,1487,Ring_Road_Manohara_Bridge,Ring Road (Manohara Bridge),Ring Road Corridor,dor_portal_live,2012/13,60,H1614,39245,35678,27.7045,85.3715,1500,2026-08-08T17:04:54.833838+05:45
60,H1614,Ring Road (Manohara Bridge),39471,15284,35719,22993,2014/15,https://ssrn.dor.gov.np/traffic_controller/get_detail/Ring Road -2Manohara Bridge-1/380,2015-01-01,1488,Ring_Road_Manohara_Bridge,Ring Road (Manohara Bridge),Ring Road Corridor,dor_portal_live,2014/15,60,H1614,39471,35719,27.7045,85.3715,1500,2026-08-08T17:04:54.833838+05:45
60,H1614,Ring Road (Manohara Bridge),37343,13985,32788,21109,2015/16,https://ssrn.dor.gov.np/traffic_controller/get_detail/Ring Road -2Manohara Bridge-1/540,2016-01-01,1366,Ring_Road_Manohara_Bridge,Ring Road (Manohara Bridge),Ring Road Corridor,dor_portal_live,2015/16,60,H1614,37343,32788,27.7045,85.3715,1500,2026-08-08T17:04:54.833838+05:45
60,H1614,Ring Road (Manohara Bridge),31887,13320,28743,19460,2016/17,https://ssrn.dor.gov.np/traffic_controller/get_detail/Ring Road -2Manohara Bridge-1/700,2017-01-01,1198,Ring_Road_Manohara_Bridge,Ring Road (Manohara Bridge),Ring Road Corridor,dor_portal_live,2016/17,60,H1614,31887,28743,27.7045,85.3715,1500,2026-08-08T17:04:54.833838+05:45
60,H1614,Ring Road (Manohara Bridge),75028,27207,59518,35190,2018/19,https://ssrn.dor.gov.np/traffic_controller/get_detail/Ring Road -2Manohara Bridge-1/860,2019-01-01,2480,Ring_Road_Manohara_Bridge,Ring Road (Manohara Bridge),Ring Road Corridor,dor_portal_live,2018/19,60,H1614,75028,59518,27.7045,85.3715,1500,2026-08-08T17:04:54.833838+05:45
