stop_id,stop_name,route_id,capacity_limit,latitude,longitude,data_source
Satdobato_South_Chapagaun,Satdobato South (Chapagaun),Ratna Park - Lagankhel Corridor,500,27.638,85.333,dor_traffic_portal
Satdobato_Junction_South,Satdobato Junction South,Ratna Park - Lagankhel Corridor,1500,27.668,85.33,dor_traffic_portal
Ring_Road_Manohara_Bridge,Ring Road (Manohara Bridge),Ring Road Corridor,1500,27.7045,85.3715,dor_traffic_portal
Ring_Road_Balkhu_East,Ring Road (Balkhu East),Ring Road Corridor,900,27.6766,85.283,dor_traffic_portal
Kharipati,Kharipati,Arniko Highway Corridor,250,27.6719,85.409,dor_traffic_portal
Hanumante_Bridge,Hanumante Bridge,Arniko Highway Corridor,900,27.6739,85.412,dor_traffic_portal
Manohara_Bridge,Manohara Bridge,Arniko Highway Corridor,2500,27.71,85.369,dor_traffic_portal
Ring_Road_Sinamangal,Ring Road (Sinamangal),Ring Road Corridor,2500,27.6988,85.3541,dor_traffic_portal
Chabahil_East,Chabahil East,Chabahil - Jorpati Corridor,900,27.7185,85.3465,dor_traffic_portal
Jorpati_North,Jorpati North,Chabahil - Jorpati Corridor,500,27.734,85.374,dor_traffic_portal
Ring_Road_Narayan_Gopal_Chowk,Ring Road (Narayan Gopal Chowk),Ring Road Corridor,2500,27.741,85.333,dor_traffic_portal
Gangalal_Hospital_North,Gangalal Hospital North,Chabahil - Jorpati Corridor,500,27.717,85.3445,dor_traffic_portal
Balaju_Bypass_North,Balaju Bypass North,Ring Road Corridor,250,27.7325,85.3055,dor_traffic_portal
Ring_Road_Banasthali,Ring Road (Banasthali),Ring Road Corridor,1500,27.726,85.2985,dor_traffic_portal
T_U_Gate,T.U. Gate,Kathmandu Valley Corridor,500,27.716,85.319,dor_traffic_portal
Taudaha,Taudaha,Tribhuvan Rajpath Corridor,250,27.635,85.2925,dor_traffic_portal
Nagdhunga,Nagdhunga,Tribhuvan Rajpath Corridor,250,27.692,85.232,dor_traffic_portal
Kalanki,Kalanki,Ring Road Corridor,2500,27.6931,85.2806,dor_traffic_portal
Gwarko_East,Gwarko East,Ratna Park - Lagankhel Corridor,900,27.6802,85.341,dor_traffic_portal
Byasi_Chowk_North,Byasi Chowk North,Ratna Park - Lagankhel Corridor,250,27.686,85.3085,dor_traffic_portal
Satdobato_North,Satdobato North,Ratna Park - Lagankhel Corridor,1500,27.6578,85.3241,dor_traffic_portal
