stop_id,stop_name,route_id,latitude,longitude,source
OSM_31019074,Hyatt Regency,Purano Bus Park - jorpati,27.7194001,85.3541091,Yatayat / OpenStreetMap
OSM_31019734,Lainchour Chowk Bus Stop,Kathmandu Transit,27.7170479,85.3160463,Yatayat / OpenStreetMap
OSM_31147572,Airport Bus Station,Chakrapath Parikrama,27.7007282,85.3536657,Yatayat / OpenStreetMap
OSM_31148719,Dillibazaar stop,Gothatar-Purano Buspark,27.7053698,85.3267594,Yatayat / OpenStreetMap
OSM_31148727,Putalisadak chowk,Ratna Park - Sundarijal,27.7056942,85.3228482,Yatayat / OpenStreetMap
OSM_31150618,KMC stop,Gothatar-Purano Buspark,27.6958336,85.3527914,Yatayat / OpenStreetMap
OSM_31150627,Sinamangal,Gothatar-Purano Buspark,27.6984315,85.3485208,Yatayat / OpenStreetMap
OSM_31150643,Old Baneshwor,Gothatar-Purano Buspark,27.7015201,85.3402035,Yatayat / OpenStreetMap
OSM_31150664,Sinamangal/Ring Road Stop सिनामंगल,Chakrapath Parikrama,27.6952641,85.3550236,Yatayat / OpenStreetMap
OSM_31151483,Chabahil चाबाहील,Ratna Park - Sundarijal,27.7166411,85.3463953,Yatayat / OpenStreetMap
OSM_31152086,Samakhusi Stop,Kathmandu Transit,27.7356178,85.3208814,Yatayat / OpenStreetMap
OSM_31228768,Koteshwor Stop,Chakrapath Parikrama,27.6789154,85.3495276,Yatayat / OpenStreetMap
OSM_31229796,Kamal Binayak,Kamalbinayak-Ratnapark,27.6773274,85.4369166,Yatayat / OpenStreetMap
OSM_31230058,Chunudevi,Kathmandu Transit,27.6670973,85.4167103,Yatayat / OpenStreetMap
OSM_31230194,Chyamasingh,Chyamasingh to Ratnapark,27.6734269,85.4383679,Yatayat / OpenStreetMap
OSM_31230922,Gairigaun Stop,Chakrapath Parikrama,27.6872755,85.3505597,Yatayat / OpenStreetMap
OSM_31232256,Bir Hospital,Purano Bus Park- Patan Dhoka,27.7057227,85.3140743,Yatayat / OpenStreetMap
OSM_31303568,Balaju,Kathmandu Transit,27.727061,85.3046132,Yatayat / OpenStreetMap
OSM_36470985,Thankot,Kathmandu Transit,27.7066268,85.20574,Yatayat / OpenStreetMap
OSM_253198544,attarkhel,Attrekhle-Purano Buspark,27.7345484,85.3824524,Yatayat / OpenStreetMap
OSM_253205163,Mangalbazar,Kathmandu Transit,27.6726408,85.32499,Yatayat / OpenStreetMap
OSM_268116939,Sorhakhutte,Kathmandu Transit,27.7189672,85.3096191,Yatayat / OpenStreetMap
OSM_268117053,Balaju Chowk Bus Stop,Kathmandu Transit,27.7261654,85.3049748,Yatayat / OpenStreetMap
OSM_268307740,Gairidhara,Purano Bus Park- Patan Dhoka,27.717774,85.3278923,Yatayat / OpenStreetMap
OSM_268307757,Tangal,Purano Bus Park- Patan Dhoka,27.7172017,85.3304487,Yatayat / OpenStreetMap
OSM_268307761,Police Headquarter Stop,Kathmandu Transit,27.7166335,85.3302144,Yatayat / OpenStreetMap
OSM_268307973,Batuk Bhairav,Kathmandu Transit,27.6644749,85.3240029,Yatayat / OpenStreetMap
OSM_268545728,Shobhabhagwati,Kathmandu Transit,27.7182038,85.3121379,Yatayat / OpenStreetMap
OSM_296340520,Dhulikhel Stop,Ratnapark - Dhulikhel,27.6184151,85.5540152,Yatayat / OpenStreetMap
OSM_313140515,Naxal Bhagwati,Purano Bus Park- Patan Dhoka,27.7126983,85.3286914,Yatayat / OpenStreetMap
OSM_313544725,Kalanki,Chakrapath Parikrama,27.6933793,85.2817107,Yatayat / OpenStreetMap
OSM_313917671,Jamal,Kathmandu Transit,27.708829,85.315292,Yatayat / OpenStreetMap
OSM_314528404,Kalimati,Naikap-Koteshwor,27.6984303,85.2994397,Yatayat / OpenStreetMap
OSM_317532028,Thapathali,Purano Bus Park- Patan Dhoka,27.6917733,85.3180108,Yatayat / OpenStreetMap
OSM_317532042,UN Stop,Kathmandu Transit,27.6781007,85.3163695,Yatayat / OpenStreetMap
OSM_336240765,Chobhar Gate,Kathmandu Transit,27.6704494,85.2906221,Yatayat / OpenStreetMap
OSM_356102511,Nikap,Kausaltar-Naikap,27.6860909,85.2622904,Yatayat / OpenStreetMap
OSM_356102517,Sataungal,Kathmandu Transit,27.6869877,85.2506003,Yatayat / OpenStreetMap
OSM_356102531,Thankot Checkpost,Kathmandu Transit,27.6890018,85.2272286,Yatayat / OpenStreetMap
OSM_360265094,Chapgaun,Kathmandu Transit,27.5929413,85.3244031,Yatayat / OpenStreetMap
OSM_360309100,Gwarko Chowk Stop,Kathmandu Transit,27.6668183,85.3319371,Yatayat / OpenStreetMap
OSM_360455521,Lalitpur Industrial Estate,Kathmandu Transit,27.6673117,85.3222558,Yatayat / OpenStreetMap
OSM_360455539,Lagankhel Stop,"Naya Baneshwor, Koteshwor, Satdobato, Lagankhel, Jaulakhel, Kupandol, Naya Baneshwor",27.667053,85.3225628,Yatayat / OpenStreetMap
OSM_360464983,Khasibazaar,Chakrapath Parikrama,27.6893141,85.2841807,Yatayat / OpenStreetMap
OSM_360695713,Apex College Stop,Kathmandu Transit,27.6990701,85.3383269,Yatayat / OpenStreetMap
OSM_360695719,SchEMS,Kathmandu Transit,27.6943342,85.3371545,Yatayat / OpenStreetMap
OSM_360702826,saat tale chowk,Kathmandu Transit,27.7269595,85.350484,Yatayat / OpenStreetMap
OSM_360705527,Jorpati,Ratna Park - Sundarijal,27.7217627,85.3726321,Yatayat / OpenStreetMap
OSM_360728723,Gokarna Bus Stop,Kathmandu Transit,27.7403061,85.3907196,Yatayat / OpenStreetMap
OSM_360732075,Sundarijal,Ratna Park - Sundarijal,27.7575653,85.4193939,Yatayat / OpenStreetMap
OSM_360743086,Shivapuri Park Stop,Kathmandu Transit,27.7910669,85.3704099,Yatayat / OpenStreetMap
OSM_360889656,Thimi,Ratnapark-Dadhikot,27.673232,85.3854248,Yatayat / OpenStreetMap
OSM_415553223,Singha Durbar East Stop,Balkumari-Gopi Krishna,27.6966083,85.3281501,Yatayat / OpenStreetMap
OSM_425227547,Mahapal,Kathmandu Transit,27.6735497,85.3238901,Yatayat / OpenStreetMap
OSM_425227584,Gahabahal,Kathmandu Transit,27.674297,85.3210465,Yatayat / OpenStreetMap
OSM_425256487,Natole,Kathmandu Transit,27.6760652,85.3182015,Yatayat / OpenStreetMap
OSM_425307054,Jawalakhel,"Naya Baneshwor, Koteshwor, Satdobato, Lagankhel, Jaulakhel, Kupandol, Naya Baneshwor",27.6731745,85.3135275,Yatayat / OpenStreetMap
OSM_434978493,Patan Dhoka,Purano Bus Park- Patan Dhoka,27.6797052,85.3204857,Yatayat / OpenStreetMap
OSM_457278653,Adarsha,Kathmandu Transit,27.6664631,85.4330927,Yatayat / OpenStreetMap
OSM_558555620,Panauti,Panauti - Ratnapark,27.5871361,85.5133345,Yatayat / OpenStreetMap
OSM_558555688,Banepa,Kathmandu Transit,27.6300471,85.523985,Yatayat / OpenStreetMap
OSM_558561818,Pepsi Cola Chowk,Bhaktapur-Purano Thimi- Purano Bus Park,27.6892092,85.3603535,Yatayat / OpenStreetMap
OSM_558561819,Lainchaur stop,Kathmandu Transit,27.7187572,85.3176972,Yatayat / OpenStreetMap
OSM_560500317,Boudha,Ratna Park - Sundarijal,27.7207198,85.3617598,Yatayat / OpenStreetMap
OSM_564118342,Balkhu,Ratna Park - Daksinkali,27.6849952,85.2982204,Yatayat / OpenStreetMap
OSM_577479838,Sakhu Stop,Purano Bus Park - Sakhu,27.7276836,85.4616684,Yatayat / OpenStreetMap
OSM_670651214,Kupondole stop,"Naya Baneshwor, Koteshwor, Satdobato, Lagankhel, Jaulakhel, Kupandol, Naya Baneshwor",27.6879741,85.3163053,Yatayat / OpenStreetMap
OSM_725879816,Jwagal,Purano Bus Park- Patan Dhoka,27.6855629,85.3181634,Yatayat / OpenStreetMap
OSM_728152923,Naya Naikap,Naikap-Koteshwor,27.7012827,85.2891812,Yatayat / OpenStreetMap
OSM_728153897,ASCOL Stop,Kathmandu Transit,27.7173801,85.3148107,Yatayat / OpenStreetMap
OSM_913398284,TU Gate,Kathmandu Transit,27.6788796,85.2972123,Yatayat / OpenStreetMap
OSM_913398317,Panga Dobato,Kathmandu Transit,27.6747581,85.2804077,Yatayat / OpenStreetMap
OSM_913398439,Tinkune,Kathmandu Transit,27.676654,85.2835434,Yatayat / OpenStreetMap
OSM_913493802,Dhokashi,Kathmandu Transit,27.670661,85.2790338,Yatayat / OpenStreetMap
OSM_943246313,Ratna Park,Kathmandu Transit,27.7067052,85.3152489,Yatayat / OpenStreetMap
OSM_977632829,BishnuDevi Health Centre,Kathmandu Transit,27.680562,85.2764393,Yatayat / OpenStreetMap
OSM_977642700,Shahid Gate,Kathmandu Transit,27.6997186,85.3147572,Yatayat / OpenStreetMap
OSM_1124397505,Nagaon Dobato,Kathmandu Transit,27.6747945,85.2777568,Yatayat / OpenStreetMap
OSM_1273357490,Kamaladi Road (कमलादी) stop,Kathmandu Transit,27.7079971,85.3212825,Yatayat / OpenStreetMap
OSM_1273375058,Babarmahal,Kathmandu Transit,27.6925789,85.3239053,Yatayat / OpenStreetMap
OSM_1273477941,Lagankhel,Kalanki- Lagankhel,27.6624613,85.3239461,Yatayat / OpenStreetMap
OSM_1273477942,Kumaripati,Kathmandu Transit,27.6708396,85.3200979,Yatayat / OpenStreetMap
OSM_1273478102,Patan Hospital,Kathmandu Transit,27.6684893,85.3216418,Yatayat / OpenStreetMap
