stop_id,stop_name,route_id,latitude,longitude,capacity_limit
KTM_STOP_01,Gongabu Bus Park,Ring Road Corridor,27.7333,85.313,60
KTM_STOP_02,Maharajgunj Chowk,Ring Road Corridor,27.736,85.33,40
KTM_STOP_03,Chabahil Chowk,Ring Road Corridor,27.7175,85.3465,50
KTM_STOP_04,Gaushala,Ring Road Corridor,27.7088,85.348,45
KTM_STOP_05,Koteshwor Chowk,Ring Road Corridor,27.6755,85.3459,60
KTM_STOP_06,Satdobato Chowk,Ring Road Corridor,27.6536,85.3235,45
KTM_STOP_07,Balkhu Chowk,Ring Road Corridor,27.683,85.297,40
KTM_STOP_08,Kalanki Chowk,Ring Road Corridor,27.6931,85.2806,60
KTM_STOP_09,Swayambhu Ringroad,Ring Road Corridor,27.714,85.286,35
KTM_STOP_10,Balaju Chowk,Ring Road Corridor,27.731,85.3,45
KTM_STOP_11,Ratna Park Bus Park,Ratna Park - Lagankhel Corridor,27.7061,85.3155,60
KTM_STOP_12,Lainchaur Chowk,Ratna Park - Lagankhel Corridor,27.717,85.316,40
KTM_STOP_13,Maitighar Mandala,Ratna Park - Lagankhel Corridor,27.694,85.32,40
KTM_STOP_14,Thapathali Chowk,Ratna Park - Lagankhel Corridor,27.689,85.318,35
KTM_STOP_15,Kupondole,Ratna Park - Lagankhel Corridor,27.6835,85.316,30
KTM_STOP_16,Pulchowk,Ratna Park - Lagankhel Corridor,27.678,85.314,40
KTM_STOP_17,Jawalakhel Chowk,Ratna Park - Lagankhel Corridor,27.6725,85.312,45
KTM_STOP_18,Lagankhel Bus Park,Ratna Park - Lagankhel Corridor,27.666,85.323,55
KTM_STOP_19,New Baneshwor Chowk,Arniko Highway Corridor,27.6915,85.334,50
KTM_STOP_20,Tinkune Chowk,Arniko Highway Corridor,27.683,85.345,45
KTM_STOP_21,Jadibuti Chowk,Arniko Highway Corridor,27.671,85.356,40
KTM_STOP_22,Lokanthali,Arniko Highway Corridor,27.669,85.367,30
KTM_STOP_23,Kaushaltar,Arniko Highway Corridor,27.67,85.378,30
KTM_STOP_24,Gatthaghar,Arniko Highway Corridor,27.6715,85.39,35
KTM_STOP_25,Suryabinayak Bus Stop,Arniko Highway Corridor,27.671,85.424,50
KTM_STOP_26,Kalanki Central,Tribhuvan Rajpath Corridor,27.6931,85.2806,60
KTM_STOP_27,Gurjudhara,Tribhuvan Rajpath Corridor,27.688,85.25,30
KTM_STOP_28,Thankot Bus Park,Tribhuvan Rajpath Corridor,27.685,85.22,55
KTM_STOP_29,Nagdhunga Checkpost,Tribhuvan Rajpath Corridor,27.683,85.2,40
KTM_STOP_30,Jorpati Chowk,Chabahil - Jorpati Corridor,27.7215,85.378,40
